"run_type","pass","position","threads","search","event","helper","diagnostic"
"measured","1","3","2","104","exit","1","SMPDIAG search=104 event=exit helper=1 submit_ms=0 start_ms=0 exit_ms=1867 abort_ms=1867 bestmove_ms=1867 helper_elapsed_ns=1867686400 helper_nodes=550472 search_elapsed_ns=1867756300 exit_cause=helper-abort completed_depth=13 bestmove=c4c5 exception=- tt_reads=895909 tt_writes=544415 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","3","2","104","bestmove","-","SMPDIAG search=104 event=bestmove source=main-result move=c4c5 legal=true main_depth=13 main_move=c4c5 latest_move=c4c5 main_score_cp=-590 main_nodes=550636 main_qnodes=1396650 main_tt_hits=229135 main_pv=c4c5,b6c5,b4c5,a3c5,g1h1,b2a1r,d1a1,a8a7,e4e5,f6h5,g2g4,g7h6,g4h5,g6h5,d2d4,c5c4,b5b6 aborted=false helper_submitted=1 helper_started=1 helper_exited=1 helper_pending=0 helper_exceptions=0 abort_ms=1867 bestmove_ms=1867 search_elapsed_ns=1867756200"
"measured","1","3","2","104","drained","-","SMPDIAG search=104 event=drained helper_submitted=1 helper_started=1 helper_exited=1 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=1867993500 hashfull=395"
"measured","1","3","4","105","begin","-","SMPDIAG search=105 event=begin threads=4 helpers=3 available_cores=16"
"measured","1","3","4","105","submit","1","SMPDIAG search=105 event=submit helper=1 ms=0 start_depth=2"
"measured","1","3","4","105","submit","2","SMPDIAG search=105 event=submit helper=2 ms=0 start_depth=1"
"measured","1","3","4","105","submit","3","SMPDIAG search=105 event=submit helper=3 ms=0 start_depth=3"
"measured","1","3","4","105","start","1","SMPDIAG search=105 event=start helper=1 ms=0"
"measured","1","3","4","105","start","3","SMPDIAG search=105 event=start helper=3 ms=0"
"measured","1","3","4","105","start","2","SMPDIAG search=105 event=start helper=2 ms=0"
"measured","1","3","4","105","exit","1","SMPDIAG search=105 event=exit helper=1 submit_ms=0 start_ms=0 exit_ms=1463 abort_ms=1463 bestmove_ms=1463 helper_elapsed_ns=1463832100 helper_nodes=396981 search_elapsed_ns=1463914400 exit_cause=helper-abort completed_depth=13 bestmove=c4c5 exception=- tt_reads=759974 tt_writes=392698 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","3","4","105","exit","3","SMPDIAG search=105 event=exit helper=3 submit_ms=0 start_ms=0 exit_ms=1463 abort_ms=1463 bestmove_ms=1463 helper_elapsed_ns=1463813100 helper_nodes=402610 search_elapsed_ns=1463914500 exit_cause=helper-abort completed_depth=13 bestmove=c4c5 exception=- tt_reads=762812 tt_writes=398241 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","3","4","105","exit","2","SMPDIAG search=105 event=exit helper=2 submit_ms=0 start_ms=0 exit_ms=1463 abort_ms=1463 bestmove_ms=1463 helper_elapsed_ns=1463818100 helper_nodes=398267 search_elapsed_ns=1463914500 exit_cause=helper-abort completed_depth=13 bestmove=c4c5 exception=- tt_reads=751093 tt_writes=393664 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","3","4","105","bestmove","-","SMPDIAG search=105 event=bestmove source=main-result move=c4c5 legal=true main_depth=13 main_move=c4c5 latest_move=c4c5 main_score_cp=-590 main_nodes=398017 main_qnodes=1041498 main_tt_hits=265964 main_pv=c4c5,b6c5,b4c5,a3c5,g1h1,b2a1q,d1a1,a8a7,e4e5,f6h5,g2g4,g7h6,g4h5,g6h5,d2d4,c5c4,b5b6 aborted=false helper_submitted=3 helper_started=3 helper_exited=3 helper_pending=0 helper_exceptions=0 abort_ms=1463 bestmove_ms=1463 search_elapsed_ns=1463915100"
"measured","1","3","4","105","drained","-","SMPDIAG search=105 event=drained helper_submitted=3 helper_started=3 helper_exited=3 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=1464138300 hashfull=419"
"measured","1","4","2","106","begin","-","SMPDIAG search=106 event=begin threads=2 helpers=1 available_cores=16"
"measured","1","4","2","106","submit","1","SMPDIAG search=106 event=submit helper=1 ms=0 start_depth=2"
"measured","1","4","2","106","start","1","SMPDIAG search=106 event=start helper=1 ms=0"
"measured","1","4","2","106","exit","1","SMPDIAG search=106 event=exit helper=1 submit_ms=0 start_ms=0 exit_ms=783 abort_ms=783 bestmove_ms=783 helper_elapsed_ns=783096700 helper_nodes=279434 search_elapsed_ns=783172600 exit_cause=helper-abort completed_depth=12 bestmove=b5c4 exception=- tt_reads=399533 tt_writes=278283 tt_other=1 after_abort=0 after_generation=0 after_clear=0 after_resize=0 reads_after_abort=0 writes_after_abort=0 other_after_abort=0 reads_after_generation=0 writes_after_generation=0 other_after_generation=0 reads_after_clear=0 writes_after_clear=0 other_after_clear=0 reads_after_resize=0 writes_after_resize=0 other_after_resize=0"
"measured","1","4","2","106","bestmove","-","SMPDIAG search=106 event=bestmove source=main-result move=b5c4 legal=true main_depth=13 main_move=b5c4 latest_move=b5c4 main_score_cp=-45 main_nodes=288501 main_qnodes=735375 main_tt_hits=102706 main_pv=b5c4,e2e4,c7c6,f1c4,d7d5,e4d5,c6d5,c4d3,b8c6,g1f3,g8f6,e1g1,a8b8 aborted=false helper_submitted=1 helper_started=1 helper_exited=1 helper_pending=0 helper_exceptions=0 abort_ms=783 bestmove_ms=783 search_elapsed_ns=783168200"
"measured","1","4","2","106","drained","-","SMPDIAG search=106 event=drained helper_submitted=1 helper_started=1 helper_exited=1 helper_pending=0 helper_exceptions=0 drain_elapsed_ns=783285700 hashfull=372"
"measured","1","4","4","107","begin","-","SMPDIAG search=107 event=begin threads=4 helpers=3 available_cores=16"
